en,pt
Which is the most common type of production unit adopted by Petrobras?,Qual é o tipo de unidade de produção mais comum adotado pela Petrobras?
What does a controlled source electromagnetic method consist of?,Em que consiste um método eletromagnético de fonte controlada?
When did the concern of political regulation of the Brazilian government with the use of marine resources and coastal areas emerge?,Quando começou a preocupação com as regulações na área de recursos marinhos e áreas costeiras por parte do governo brasileiro?
What was the first oil field discovered in Brazil?,Qual foi o primeiro campo de petróleo descoberto no Brasil?
What is one of the concerns of Brazil's government as regards Petrobras,Qual é uma das preocupações do governo brasileiro em relação à Petrobras?
"In 2014, Petrobras planned to spend e $224 billion with what?","Em 2014, a Petrobras planejava gastar e $ 224 bilhões com o quê?"
What are the main artificial lifting methods used by petrobras?,Quais os principais metodos de elevação artificial utilizados pela petrobras?
When the production of oil from the Atlanta Field started?,Quando começou a produção de petróleo do Campo de Atlanta?
How much production did the provisional system from Garoupa Field handle while the permanent platform wasn't ready?,Quanto de produção o sistema provisório do campo de Garoupa teve enquanto esperavam pela construção do sistema permanente?
"What kind of algorithm is proposed to solve the helicopter routing problem, among airports in the continent and offshore platforms on the Campos basin?","Que tipo de algoritmo é proposto para solucionar o problema de definição de rotas de helicóptero, entre aeroportos no continente e plataformas em alto mar na Bacia de Campos?"
"In the estuary, with marine influence, what was associated to deep areas with sandy sediment?","No estuário, com influência marinha, o que foi associado a áreas profundas com sedimento arenoso?"
What was the objective of the pioneer intervention on the Garoupa field?,Qual foi o objetivo da intervenção pioneira no campo Garoupa?
Which manatees showed higher serum levels of aspartate aminotransferase?,Quais peixes-boi mostraram níveis séricos mais elevados de aspartato aminotransferase?
What are the most important offshore oil reserves in Brazil?,Quais são as reservas de petróleo offshore mais importantes do Brasil?
"where did Petrobras and the CompactGTL made a test, with a bpd pilot plant, in Brazil?","Onde a Petrobras e a CompactGTL fizeram um teste, com uma planta piloto, no Brazil?"
What is the Fernando de Noronha Island?,O que é a Ilha de Fernando de Noronha?
What is Cherne II's maximum penetration range?,Qual a penetração máxima da Cherne II?
What was the result of the simulation?,Qual foi o resultado da simulação?
Where is the floating production storage and offloading P-50 vessel utilized?,Onde o navio P-50 de produção flutuante de armazenamento e descarga é utilizado?
Where were the 16 century steel risers (SCRs) of the p55 deepwater project implemented and what are their characteristics?,Aonde foi implementado os 16 risers centenários de aço (SCRs) do projeto p55 deepwater e quais suas características?
What is the oil storage capacity of the Espadarte Sul FPSO?,qual a capacidade de armazenamento de petróleo do FPSO de Espadarte Sul?
What are the aspects covered in this work?,Quais são os aspectos abordados neste trabalho?
Which companies worked together with Petrobras in first-in-the-world ESP installation in a subsea well?,Quais empresas trabalharam junto com a Petrobras na primeira instalação de ESP em um poço submarino?
Where is located Albacora Laste field?,Aonde fica localizado o campo de Albacora Leste?
What was the result of the simulation?,Qual foi o resultado da simulação?
How is the torpedo anchor installed on the seabed?,Como a âncora torpedo é instalada no fundo do mar?
Where is oil exploration concentrated under the salt layer in Brazil?,Onde se concentra a exploração de petróleo sob a camada de sal no Brasil?
What the purpose of careful measures in marine parks?,Qual o propósito das medidas de cuidados em parques marinhos?
What blocked the production flowline of the best offshore producer in Northeast Brazil?,O que bloqueou o fluxo de produção do melhor produtor offshore do Nordeste do Brasil?
" What is the water depth range of the Campos Basin?
",Qual é a extensão da profundidade da Bacia de Campos?
Which mangrove river in Ubatuba has higher levels of concentration of rare-earth elements?,Qual rio de mangue em Ubatuba apresenta maiores níveis de concentração de elementos de terras raras?
What is UV filters used for?,Para que são usados os Filtros UV?
When does the giant ray Manta birostris use the Paranaguá estuarine complex in southern Brazil to deposit its eggs?,Quando a arraia-gigante Manta birostris usa o complexo estuarino de Paranaguá no sul do Brasil para depositar seus ovos?
How will the gas shipment work in the case of the vessel chartered by Petrobras?,Como funcionará o envio de gás no caso da embarcação afretada pela Petrobras?
Why are new technologies and operational practices being developed?,Porque novas tecnologias e praticas operacionais estão sendo desenvolvidas?
What is the type of the Campos basin?,Qual é o tipo da bacia de Campos?
 In what year was the first-in-the-world installation of Electrical Submersible Pumps in a subsea well?,Em que ano foi realizada a primeira instalação de Bombas Elétricas Submersíveis do mundo em um poço submarino?
What are the types of platform support vessels used by Petrobras?,Quais os tipos mais comuns de  embarcações de apoio a plataformas usados pela Petrobras?
With the increase of oil exploration and production in ocean area new mooring systems arise for floating units. What was called the new mooring project that was applied to the Petrobras SS-20 platform?,Com o aumento da exploração e produção de petróleo na área oceânica surgem novos sistemas de amarração para unidades flutuantes. Como se chamou o novo projeto de atracação aplicado à plataforma SS-20 da Petrobras?
What are the Dinoflagellate cysts ages that can be recognized by a well drilled in Pelotas basin?,Quais as idades dos cistos de dinoflagelados que podem ser reconhecidas por um poço perfurado na bacia de Pelotas?
What was the result of the simulations made to estimate the water retention times in the bay of Icó-Mandantes?,Qual foi o resultado das simulações feitas para estimar os tempos de retenção de água na baía de Icó-Mandantes?
How did the Petrobras Operations Center come about?,Como surgiu o Centro de Operações da Petrobras?
When should the platform FPSO reach full capacity?,Quando a capacidade da platarfoma FPSO deve atingir a capacidade total?
How is the residual gas produced during offshore oil drilling normally eliminated?,Como o gás residual produzido durante a perfuração de petróleo fora da costa é normalmente eliminado?
What happened with the mangrove of the Coreaú River estuary about the area  in 2013 compared to 1985?,O que aconteceu com o manguezal da foz do rio Coreaú sobre a área em 2013 em relação a 1985?
How much boe/day did Petrobras produced in January 2004?,Quantos boe/dia a Petrobras produziu em janeiro de 2004?
Increased arsenic levels on the coastal environment were found in which countries in South America?,Níveis acentuados de arsênico no ambiente costeiro foram encontrados em que países da América do Sul?
What is the transport capacity of the Cabiunas-Reduc III's gasoduct in cubic meters?,Qual a capacidade de transporte do gasoduto Cabiunas-Reduc III em m3?
With what technology is it possible to increase oil production?,Com qual tecnologia  é possível aumentar a produção de Petroleo ?
What was necessary to identify in order to develop the sustainability indicator system?,O que foi necessário identificar para desenvolver o sistema indicador de sustentabilidade?
Why side-by-side offloading operations are not feasible in brazilian waters?,Por que operações de descarregamento lado a lado não são viáveis ​​em águas brasileiras?
What is the peak production that the PDET project will achieve?,Qual é o pico de produção que o projeto PDET vai atingir?
